ccaa,total,incidencia_acum14d,hospital,uci,morts,recuperats,nous
Andalucía,5818,61.03,2867,235,248,160,413
Aragón,2272,156.52,1176,165,138,204,194
Asturias,1236,101.97,529,65,55,90,78
Baleares,1069,85,399,85,42,111,69
Canarias,1262,51.73,483,94,55,57,58
Cantabria,1171,191.54,522,50,37,35,71
Castilla La Mancha,6424,288.12,3225,344,708,296,566
Castilla y León,6211,240.88,2601,325,516,1028,410
Cataluña,18773,226.43,12974,1652,1672,4966,2616
Ceuta,34,38.93,3,3,1,0,9
C Valenciana,5508,99.27,2189,356,339,200,398
Extremadura,1628,138.15,371,51,133,91,68
Galicia,4039,138.8,1250,149,84,187,316
Madrid,27509,339.74,15140,1514,3603,9330,3419
Melilla,54,42.78,27,3,1,0,3
Murcia,974,58.71,283,59,34,20,35
Navarra,2305,304.49,1035,99,113,192,159
País Vasco,6320,251.61,3594,307,325,1796,263
La Rioja,1810,459.28,575,51,85,496,77
ESPAÑA,94417,177.01,49243,5607,8189,19259,9222
