ccaa,total,incidencia_acum14d,hospital,uci,morts,recuperats,nous
Andalucía,5405,57.65,2671,216,236,155,723
Aragón,2078,144.32,1094,156,106,174,220
Asturias,1158,95.91,479,60,49,78,70
Baleares,1000,80.65,353,80,37,100,42
Canarias,1204,50.39,444,84,40,32,79
Cantabria,1100,179.32,481,46,27,24,77
Castilla La Mancha,5858,260.27,3134,302,622,252,612
Castilla y León,5801,227.83,2540,307,442,871,387
Cataluña,16157,198.74,11769,1512,1410,4125,1131
Ceuta,25,28.31,2,2,1,0,4
C Valenciana,5110,93.95,2042,336,310,185,326
Extremadura,1560,135.71,353,43,106,60,104
Galicia,3723,128.84,1147,134,66,168,584
Madrid,24090,299.02,14917,1460,3392,8301,1413
Melilla,51,49.72,27,3,1,0,3
Murcia,939,57.7,265,58,25,17,67
Navarra,2146,286.14,955,96,102,161,135
País Vasco,6057,245.81,3427,293,297,1646,317
La Rioja,1733,448.55,517,43,71,431,104
ESPAÑA,85195,161.62,46617,5231,7340,16780,6398
