ccaa,total,incidencia_acum14d,hospital,uci,morts,recuperats,nous
Andalucía,6392,65.76,3147,260,308,182,574
Aragón,2491,171.68,1234,168,169,257,219
Asturias,1322,105.59,590,76,63,109,86
Baleares,1131,88.65,468,95,46,170,62
Canarias,1380,55.68,532,110,62,77,118
Cantabria,1213,197.05,543,54,54,43,42
Castilla La Mancha,7047,313.45,3230,353,774,397,623
Castilla y León,6847,257.51,2692,345,585,1259,636
Cataluña,19991,236.15,13969,1769,1849,5701,1218
Ceuta,51,58.98,6,3,1,0,17
C Valenciana,5922,103.84,2189,365,395,240,414
Extremadura,1679,139.08,372,58,152,113,51
Galicia,4432,151.55,1338,158,103,259,393
Madrid,29840,363.22,15227,1514,3865,10827,2331
Melilla,62,48.56,32,3,1,0,8
Murcia,1041,61.52,304,59,37,43,67
Navarra,2497,322.68,1120,104,130,236,192
País Vasco,6838,265.65,3806,324,369,2165,518
La Rioja,1960,486.43,619,54,90,569,150
ESPAÑA,102136,188.02,51418,5872,9053,22647,7719
