ccaa,total,incidencia_acum14d,hospital,uci,morts,recuperats,nous
Andalucía,7374,72.34,3673,338,376,258,402
Aragón,2889,191.69,1431,180,224,378,189
Asturias,1433,106.47,702,86,70,154,49
Baleares,1257,91.7,587,112,69,375,53
Canarias,1490,55.87,605,120,73,102,46
Cantabria,1321,202.55,592,59,64,74,53
Castilla La Mancha,8523,367.9,3168¥,355¥,916,579,841
Castilla y León,7875,280.39,2711¥,355¥,723,1759,520
Cataluña,23460,263.05,17257,2053,2335,7849,1656
Ceuta,62,67.24,8,3,1,2,7
C Valenciana,6624,110.3,2064¥,386¥,511,592,316
Extremadura,1893,149.48,415,64,200,164,56
Galicia,5219,171.92,1630,178¥,138,435,377
Madrid,34188,405.54,15050¥,1506¥,4483,13850,2033
Melilla,70,53.19,34,3,2,4,8
Murcia,1145,62.99,405,72,46,90,61
Navarra,2836,348.82,1284,119,151,294,154
País Vasco,7827,288.16,4283,363,444,2809,510
La Rioja,2224,545.14,738,64,109,745,141
ESPAÑA,117710,207.82,56637,6416,10935,30513,7472
