ccaa,total,incidencia_acum14d,hospital,uci,morts,recuperats,nous
Andalucía,4277,47.63,2106,172,175,139,484
Aragón,1592,111.5,835,124,58¥,8,254
Asturias,1004,89.17,408,50,33,65,104
Baleares,862,72.56,283,59,26,80,107
Canarias,1025,43.42,377,68,36,25,147
Cantabria,937,155.92,406,37,22,21,127
Castilla La Mancha,4512,207.74,2977,289,448,197,578
Castilla y León,4791,190.37,2063,249,321,585,659
Cataluña,14263,179.2,9900,1324,1070,3106,1323
Ceuta,17,20.05,2,2,1,0,0
C Valenciana,4034,78.02,1694,282,234,92,502
Extremadura,1394,124.38,312,40,88,49,163
Galicia,2772,98.43,906,112,47,95,450
Madrid,21520,278.84,14211,1404,2757,6326,2277
Melilla,45,48.56,22,2,1,0,3
Murcia,802,50.54,231,58,17,12,88
Navarra,1829,257.26,827,84,70,98,188
País Vasco,5136,209.03,2612,176,221,1023,535
La Rioja,1436,365.53,458,43,65,364,200
ESPAÑA,72248,141.09,40630,4575,5690,12285,8189
